     78.12 3.112840e+02 7.515971e+02 3.751993e+02 1.066100e-02
    117.19 3.237992e+02 8.328706e+02 4.136790e+02 1.450400e-02
    156.25 3.303328e+02 8.777705e+02 4.393191e+02 1.821000e-02
    195.31 3.335112e+02 9.107468e+02 4.542564e+02 2.201400e-02
    292.97 3.403830e+02 9.548059e+02 4.767050e+02 3.146600e-02
    390.62 3.428650e+02 9.775171e+02 4.873176e+02 4.104100e-02
    781.25 3.495953e+02 1.000951e+03 5.049931e+02 7.920900e-02
   1562.50 3.491986e+02 1.024197e+03 5.121180e+02 1.562140e-01
   3125.00 3.918150e+02 1.150384e+03 5.795086e+02 2.760960e-01
   7812.50 3.927807e+02 1.159756e+03 5.847184e+02 6.840900e-01
  15625.00 3.929262e+02 1.161619e+03 5.861738e+02 1.364783e+00
  31250.00 3.891874e+02 1.080890e+03 5.717518e+02 2.798417e+00
  46875.00 3.879762e+02 1.052692e+03 5.666010e+02 4.235785e+00
  62500.00 3.887020e+02 1.061973e+03 5.687753e+02 5.626123e+00
 117187.50 3.840239e+02 1.025485e+03 5.586345e+02 1.074048e+01
