     78.12 5.675369e+02 7.541478e+02 5.168626e+02 7.739000e-03
    117.19 6.013229e+02 8.401008e+02 5.924756e+02 1.012700e-02
    156.25 6.191950e+02 8.720296e+02 6.345178e+02 1.260800e-02
    195.31 6.558237e+02 9.120759e+02 6.815703e+02 1.467200e-02
    292.97 6.800871e+02 9.515351e+02 7.314932e+02 2.050600e-02
    390.62 6.748094e+02 9.781864e+02 7.508635e+02 2.663600e-02
    781.25 7.036555e+02 1.011787e+03 8.028421e+02 4.982300e-02
   1562.50 7.626456e+02 1.114237e+03 8.889086e+02 8.999800e-02
   3125.00 7.887757e+02 1.166470e+03 9.306817e+02 1.719170e-01
   7812.50 7.830762e+02 1.174812e+03 9.354143e+02 4.276180e-01
  15625.00 7.847030e+02 1.178075e+03 9.396443e+02 8.513860e-01
  31250.00 7.844637e+02 1.180960e+03 9.413697e+02 1.699651e+00
  46875.00 7.801600e+02 1.180861e+03 9.386399e+02 2.556891e+00
  62500.00 7.817607e+02 1.181590e+03 9.402371e+02 3.403397e+00
 117187.50 7.833722e+02 1.183018e+03 9.421856e+02 6.368172e+00
